i,j,distance
1,1,0
1,2,110.003361
1,3,224.418701
1,4,406.036237
1,5,451.53583
1,6,621.97118
1,7,860.203885
1,8,1249.863325
1,9,1074.359837
1,10,925.494706
1,11,1126.57574
1,12,899.107927
1,13,1548.08135
1,14,1249.984806
1,15,363.953797
1,16,622.606321
1,17,1055.28236
1,18,1338.196663
1,19,1886.419072
1,20,2047.842972
1,21,2287.124157
1,22,1465.478149
1,23,1518.495021
1,24,1734.455919
1,25,2087.390744
1,27,912.201579
1,28,1191.278257
1,29,1753.619848
1,30,921.463073
1,31,2405.870364
2,1,110.003361
2,2,0
2,3,192.933531
2,4,429.770471
2,5,554.672663
2,6,601.056023
2,7,859.246155
2,8,1273.454285
2,9,966.501145
2,10,821.429451
2,11,1023.179758
2,12,808.6599
2,13,1454.711889
2,14,1168.123306
2,15,273.821483
2,16,578.907696
2,17,986.612651
2,18,1274.150331
2,19,1814.557769
2,20,1998.750182
2,21,2224.669145
2,22,1448.854691
2,23,1520.643825
2,24,1703.563055
2,25,2070.35275
2,27,912.481189
2,28,1234.346492
2,29,1814.097662
2,30,971.267422
2,31,2499.390679
3,1,224.418701
3,2,192.933531
3,3,0
3,4,259.315353
3,5,531.685916
3,6,792.812008
3,7,1052.10699
3,8,1461.829012
3,9,940.693998
3,10,771.702052
3,11,966.17489
3,12,705.595027
3,13,1354.82518
3,14,1040.388844
3,15,201.930688
3,16,398.552021
3,17,835.381703
3,18,1115.655861
3,19,1666.903824
3,20,1823.745047
3,21,2063.62825
3,22,1256.82638
3,23,1328.408341
3,24,1516.331865
3,25,1878.601658
3,27,720.471738
3,28,1065.647383
3,29,1662.180194
3,30,812.444777
3,31,2409.254284
4,1,406.036237
4,2,429.770471
4,3,259.315353
4,4,0
4,5,445.52285
4,6,1023.483202
4,7,1266.210725
4,8,1645.460596
4,9,1109.006074
4,10,923.983699
4,11,1100.410845
4,12,795.777445
4,13,1417.843176
4,14,1067.799149
4,15,416.856125
4,16,358.921098
4,17,825.808609
4,18,1073.907643
4,19,1635.924781
4,20,1720.276887
4,21,1995.991163
4,22,1080.264021
4,23,1115.370808
4,24,1369.680853
4,25,1699.074724
4,27,513.688522
4,28,807.769726
4,29,1403.380905
4,30,553.273651
4,31,2182.078745
5,1,451.53583
5,2,554.672663
5,3,531.685916
5,4,445.52285
5,5,0
5,6,969.999049
5,7,1137.108665
5,8,1418.245064
5,9,1472.268744
5,10,1302.305682
5,11,1494.131442
5,12,1213.890558
5,13,1851.881442
5,14,1509.644992
5,15,732.914096
5,16,802.838283
5,17,1271.032672
5,18,1517.213227
5,19,2079.037183
5,20,2134.936913
5,21,2427.421427
5,22,1440.830991
5,23,1413.71297
5,24,1755.204239
5,25,2037.782315
5,27,872.717789
5,28,940.08799
5,29,1409.691985
5,30,669.235643
5,31,1962.309639
6,1,621.97118
6,2,601.056023
6,3,792.812008
6,4,1023.483202
6,5,969.999049
6,6,0
6,7,281.716395
6,8,741.514693
6,9,1189.877177
6,10,1130.092836
6,11,1313.729294
6,12,1230.462801
6,13,1808.517611
6,14,1607.430389
6,15,791.243583
6,16,1153.30395
6,17,1487.92703
6,18,1778.877363
6,19,2276.138829
6,20,2532.245331
6,21,2715.221065
6,22,2039.823919
6,23,2121.213338
6,24,2276.209356
6,25,2658.702395
6,27,1513.247019
6,28,1811.868665
6,29,2357.726862
6,30,1539.832426
6,31,2899.03462
7,1,860.203885
7,2,859.246155
7,3,1052.10699
7,4,1266.210725
7,5,1137.108665
7,6,281.716395
7,7,0
7,8,464.888496
7,9,1449.059656
7,10,1402.501067
7,11,1580.674718
7,12,1510.929753
7,13,2078.852476
7,14,1887.459841
7,15,1068.397337
7,16,1425.692395
7,17,1769.506694
7,18,2060.54355
7,19,2556.271154
7,20,2813.27505
7,21,2996.539312
7,22,2307.120578
7,23,2376.535165
7,24,2551.304144
7,25,2927.851564
7,27,1768.659434
7,28,2030.581669
7,29,2545.733632
7,30,1755.030131
7,31,2995.123857
8,1,1249.863325
8,2,1273.454285
8,3,1461.829012
8,4,1645.460596
8,5,1418.245064
8,6,741.514693
8,7,464.888496
8,8,0
8,9,1911.300531
8,10,1867.372744
8,11,2045.015696
8,12,1971.482349
8,13,2543.61959
8,14,2348.684092
8,15,1507.913721
8,16,1851.514052
8,17,2220.968788
8,18,2512.694998
8,19,3017.239373
8,20,3259.204216
8,21,3454.08116
8,22,2715.270833
8,23,2759.679948
8,24,2977.013017
8,25,3337.235774
8,27,2158.452086
8,28,2353.495883
8,29,2807.832826
8,30,2078.410185
8,31,3095.635141
9,1,1074.359837
9,2,966.501145
9,3,940.693998
9,4,1109.006074
9,5,1472.268744
9,6,1189.877177
9,7,1449.059656
9,8,1911.300531
9,9,0
9,10,192.398329
9,11,165.833526
9,12,411.323888
9,13,651.434367
9,14,612.272654
9,15,739.435986
9,16,836.693933
9,17,695.499167
9,18,889.848105
9,19,1213.650071
9,20,1605.930258
9,21,1673.564084
9,22,1458.934815
9,23,1667.184905
9,24,1532.062712
9,25,1964.915418
9,27,1226.22931
9,28,1732.390207
9,29,2358.753624
9,30,1564.392285
9,31,3269.0462
10,1,925.494706
10,2,821.429451
10,3,771.702052
10,4,923.983699
10,5,1302.305682
10,6,1130.092836
10,7,1402.501067
10,8,1867.372744
10,9,192.398329
10,10,0
10,11,202.221367
10,12,236.814882
10,13,678.918958
10,14,528.066047
10,15,574.203642
10,16,644.305453
10,17,545.833785
10,18,778.966039
10,19,1179.249766
10,20,1525.229182
10,21,1634.8364
10,22,1302.037234
10,23,1498.901063
10,24,1404.599866
10,25,1835.2012
10,27,1037.563319
10,28,1541.608991
10,29,2168.648389
10,30,1372.010543
10,31,3077.43531
11,1,1126.57574
11,2,1023.179758
11,3,966.17489
11,4,1100.410845
11,5,1494.131442
11,6,1313.729294
11,7,1580.674718
11,8,2045.015696
11,9,165.833526
11,10,202.221367
11,11,0
11,12,329.567036
11,13,501.033286
11,14,451.909458
11,15,771.82787
11,16,791.839064
11,17,566.877228
11,18,734.656966
11,19,1049.232929
11,20,1441.165437
11,21,1509.074232
11,22,1326.67741
11,23,1545.557257
11,24,1380.250787
11,25,1813.037728
11,27,1146.588805
11,28,1658.873137
11,29,2279.572213
11,30,1512.698967
11,31,3225.018406
12,1,899.107927
12,2,808.6599
12,3,705.595027
12,4,795.777445
12,5,1213.890558
12,6,1230.462801
12,7,1510.929753
12,8,1971.482349
12,9,411.323888
12,10,236.814882
12,11,329.567036
12,12,0
12,13,650.028474
12,14,377.485858
12,15,535.987426
12,16,467.20232
12,17,317.305995
12,18,577.990879
12,19,1045.757201
12,20,1338.011839
12,21,1487.340786
12,22,1066.04631
12,23,1262.393779
12,24,1181.542252
12,25,1609.300744
12,27,821.001366
12,28,1331.707493
12,29,1954.883039
12,30,1183.489096
12,31,2896.13728
13,1,1548.08135
13,2,1454.711889
13,3,1354.82518
13,4,1417.843176
13,5,1851.881442
13,6,1808.517611
13,7,2078.852476
13,8,2543.61959
13,9,651.434367
13,10,678.918958
13,11,501.033286
13,12,650.028474
13,13,0
13,14,373.786123
13,15,1184.229433
13,16,1063.135282
13,17,635.379008
13,18,575.470796
13,19,606.100595
13,20,1072.808668
13,21,1056.220571
13,22,1227.249803
13,23,1481.43851
13,24,1155.289158
13,25,1564.737054
13,27,1277.733479
13,28,1771.004999
13,29,2347.470506
13,30,1698.700094
13,31,3382.649741
14,1,1249.984806
14,2,1168.123306
14,3,1040.388844
14,4,1067.799149
14,5,1509.644992
14,6,1607.430389
14,7,1887.459841
14,8,2348.684092
14,9,612.272654
14,10,528.066047
14,11,451.909458
14,12,377.485858
14,13,373.786123
14,14,0
14,15,894.654559
14,16,709.055527
14,17,261.983469
14,18,288.223334
14,19,668.813756
14,20,999.880573
14,21,1115.251886
14,22,922.907014
14,23,1163.711082
14,24,934.551518
14,25,1366.163099
14,27,904.974285
14,28,1403.056239
14,29,1991.129461
14,30,1324.914856
14,31,3012.696865
15,1,363.953797
15,2,273.821483
15,3,201.930688
15,4,416.856125
15,5,732.914096
15,6,791.243583
15,7,1068.397337
15,8,1507.913721
15,9,739.435986
15,10,574.203642
15,11,771.82787
15,12,535.987426
15,13,1184.229433
15,14,894.654559
15,15,0
15,16,369.520022
15,17,721.972523
15,18,1012.482159
15,19,1545.009452
15,20,1751.447185
15,21,1961.974047
15,22,1259.649466
15,23,1369.009499
15,24,1485.205742
15,25,1873.496677
15,27,776.414415
15,28,1189.340152
15,29,1803.95394
15,30,955.87918
15,31,2595.325499
16,1,622.606321
16,2,578.907696
16,3,398.552021
16,4,358.921098
16,5,802.838283
16,6,1153.30395
16,7,1425.692395
16,8,1851.514052
16,9,836.693933
16,10,644.305453
16,11,791.839064
16,12,467.20232
16,13,1063.135282
16,14,709.055527
16,15,369.520022
16,16,0
16,17,468.993544
16,18,730.923741
16,19,1290.493751
16,20,1425.24746
16,21,1671.852207
16,22,890.373483
16,23,1005.161475
16,24,1126.693196
16,25,1506.118259
16,27,434.148081
16,28,909.378105
