province,id,time,year,month,CarbonDioxide,Industrial,GDP,Electricity,Dnvalue,I-population,O-population,H-temperature,L-temperature
Beijing,1,201901,2019,1,11.8827,1372.5,2560.61,0.972372,7.48,356.1,266.9,3.94,-7.85
Beijing,1,201902,2019,2,10.08319,3136.6,2484.82,0.97062,8.24,355.03,267.91,4.38,-5.77
Beijing,1,201903,2019,3,8.55183,4900.7,2493.86,0.968869,9,329.1,257.23,15.58,1.63
Beijing,1,201904,2019,4,6.1244,6628.6,2649.17,0.965473,8.63,303.18,246.55,20.63,7.35
Beijing,1,201905,2019,5,5.52303,8321.8,2721.91,0.962881,9.16,277.3,235.89,28.84,14.13
Beijing,1,201906,2019,6,5.40595,10250.8,2776.16,0.971248,8.75,251.46,225.25,30.82,19.87
Beijing,1,201907,2019,7,6.0617,11976.3,2712.14,0.971546,7.92,225.68,214.64,31.97,22.62
Beijing,1,201908,2019,8,6.05554,13830.2,2767.19,0.972173,7.96,199.98,204.06,29.94,20.96
Beijing,1,201909,2019,9,5.95522,15773.8,2842.13,0.972716,8.34,174.37,193.53,28.66,16.89
Beijing,1,201910,2019,10,6.48354,17512.9,3363.05,0.974389,9.17,148.86,183.05,18.74,7.98
Beijing,1,201911,2019,11,8.76161,19442.5,3336.54,0.974772,9.04,123.48,172.62,9.61,0.59
Beijing,1,201912,2019,12,11.04553,21800.6,3181.38,0.975186,10.05,98.23,162.26,3.3,-6.18
Beijing,1,202001,2020,1,10.4976,3358.51,2554.92,0.975549,9.87,249.26,367.66,3.96,-6.8
Beijing,1,202002,2020,2,9.36453,3151.3,2421.08,0.975553,7.64,298.04,391.94,6.31,-4.59
Beijing,1,202003,2020,3,7.82575,5208.9,2440.69,0.974776,9.75,344.55,414.11,15,1.09
Beijing,1,202004,2020,4,6.14173,6864.3,2815.52,0.974359,9.28,384.99,431.36,21.42,7.46
Beijing,1,202005,2020,5,5.17326,8589.6,2949.88,0.971594,0.51,415.59,440.87,26.88,14.2
Beijing,1,202006,2020,6,5.65692,10558.5,3048.62,0.972102,1.06,432.56,439.82,31.62,20.46
Beijing,1,202007,2020,7,5.60959,12386.3,3050.23,0.971687,3.73,432.12,425.41,30.09,21.46
Beijing,1,202008,2020,8,5.77025,14285.2,3133.76,0.971866,8.21,410.48,394.81,30.17,21.35
Beijing,1,202009,2020,9,7.52766,16334,3237.42,0.971649,8.54,363.85,345.21,26.11,15.91
Beijing,1,202010,2020,10,8.82011,18162.7,3514.43,0.970353,9.43,288.47,273.8,18.76,6.73
Beijing,1,202011,2020,11,11.51612,20251.3,3535.63,0.971355,9.62,203.12,198.76,10.7,0.27
Beijing,1,202012,2020,12,14.29702,22813.9,3454.6,0.972354,11.45,178.51,185.44,1.79,-7.47
Beijing,1,202101,2021,1,13.73788,3021.78,3013.7,0.972994,10.38,72.02,102.51,1.58,-9.08
Beijing,1,202102,2021,2,13.62992,2799.4,2935.3,0.973001,10.6,104.24,91.21,9.12,-3.49
Beijing,1,202103,2021,3,10.56239,4523.9,2962.95,0.973703,9.78,217.66,182.17,13.51,3.7
Beijing,1,202104,2021,4,10.75216,6234.2,3316.49,0.972189,10.36,267.24,269.88,19.62,8.3
Beijing,1,202105,2021,5,8.26148,8053.5,3417.84,0.969776,9.7,318.92,310.92,25.76,13.81
Beijing,1,202106,2021,6,7.75096,10151.5,3485.45,0.968961,9.09,271.52,276.96,29.9,19.21
Beijing,1,202107,2021,7,7.71218,12182.6,3429.03,0.969084,8.47,302,308.88,29.95,22.06
Beijing,1,202108,2021,8,8.25569,14299.9,3497.96,0.969628,7.86,159.31,149.27,29.3,20.37
Beijing,1,202109,2021,9,8.35194,16504.3,3601.93,0.968778,7.84,248.44,253.69,25.29,17.06
Beijing,1,202110,2021,10,8.00411,18433.7,3846.43,0.968301,8.2,300.86,283.73,17.86,6.54
Beijing,1,202111,2021,11,8.78085,20612.4,3864.26,0.968401,9.54,145.84,138.75,10.54,0.09
Beijing,1,202112,2021,12,10.79905,23277.9,3764.5,0.968627,11.03,194.48,192.41,6.23,-4.68
Beijing,1,202201,2022,1,12.83348,4116.6,3221.19,0.976605,11.43,145.59,221.73,2.88,-6.8
Beijing,1,202202,2022,2,11.82761,6418.6,3106.33,0.976695,12.14,198.2,113.26,4.66,-6.64
Beijing,1,202203,2022,3,10.17315,8663.8,3091.69,0.978629,11.12,115.22,99.4,13.26,1.98
Beijing,1,202204,2022,4,7.74881,11034.4,3279.68,0.979478,10.34,82.92,75.81,22.25,9.02
Beijing,1,202205,2022,5,6.81856,13687.3,3355.73,0.979803,6.45,33.64,41.97,27.43,13.5
Beijing,1,202206,2022,6,7.67552,15972.1,3423.37,0.981693,9.49,85.43,91.4,30.28,19.22
Beijing,1,202207,2022,7,7.95834,18316.5,3452.62,0.982984,2.31,263.41,277.83,31.85,22.13
Beijing,1,202208,2022,8,8.23609,20602.9,3525.26,0.984573,8.63,302.34,277.56,29.93,20.82
Beijing,1,202209,2022,9,7.58527,22774.6,3611.35,0.983427,9.1,182.81,179.32,28.51,15.88
Beijing,1,202210,2022,10,8.53721,25121.2,3856.79,0.979755,9.18,116.58,111.65,18.05,6.7
Beijing,1,202211,2022,11,10.06867,28171.1,3860.01,0.978233,9.28,65.65,67.51,11.65,0.54
Beijing,1,202212,2022,12,13.3998,27903.96,3766.93,0.977106,11.32,100.62,137.33,1.96,-8.61
Beijing,1,202301,2023,1,12.82083,4128.2,3374.98,0.974088,12.17,303.17,318.79,3.36,-8.55
